SECUENCIACOD_AREADENOMINACION_AREACOD_ORGANO_DIRECTIVODENOMINACION_ORGANO_DIRECTIVOCOD_GRUPO_PERSONALDESC__GRUPO_PERSONALCOD_GRUPO_TITULACIONDESC_GRUPO_TITULACIONCOD_CATEGORIADESC_CATEGORIACOD_SEXODESC_SEXORANGO_EDADTOTAL_PERSONASMES_DATOSANIO_DATOSFX_CARGAFX_DATOS_INIFX_DATOS_FIN
110000002DISTRITO DE CENTRO                                                               FFuncionarioC1Bachillerato,B.U.P.,F.P. 2º gradoC005ADMINISTRATIVO                                              MMujer50 - 541520222022-06-14 14:02:49.04001/06/202201/06/2022
210000002DISTRITO DE CENTRO                                                               FFuncionarioC2Graduado Escolar,F.P. de 1º gradoD005AUXILIAR ADMINISTRATIVO                                     MMujer40 - 441520222022-06-14 14:02:49.04001/06/202201/06/2022
310000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioA1Doctor,Licenciado,Arquitecto,Ingeniero o EquivalenteA002GRUPO A1 OTRAS ADMINISTRACIONES                            MMujer50 - 542520222022-06-14 14:02:49.04001/06/202201/06/2022
410000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioA1Doctor,Licenciado,Arquitecto,Ingeniero o EquivalenteA635TECNICO SUPERIOR                                            MMujer40 - 441520222022-06-14 14:02:49.04001/06/202201/06/2022
510000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioA1Doctor,Licenciado,Arquitecto,Ingeniero o EquivalenteA635TECNICO SUPERIOR                                            MMujer50 - 541520222022-06-14 14:02:49.04001/06/202201/06/2022
610000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioA2Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,FB015DIPLOMADO EN TRABAJOS SOCIALES                              MMujer45 - 496520222022-06-14 14:02:49.04001/06/202201/06/2022
710000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioA2Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,FB015DIPLOMADO EN TRABAJOS SOCIALES                              HHombre45 - 492520222022-06-14 14:02:49.04001/06/202201/06/2022
810000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioA2Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,FB015DIPLOMADO EN TRABAJOS SOCIALES                              HHombre50 - 541520222022-06-14 14:02:49.04001/06/202201/06/2022
910000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioA2Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,FB030ARQUITECTO TECNICO                                          MMujer35 - 392520222022-06-14 14:02:49.04001/06/202201/06/2022
1010000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioA2Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,FB035INGENIERO TECNICO                                           MMujer55 - 591520222022-06-14 14:02:49.04001/06/202201/06/2022
1110000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioA2Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,FB065INSPECTOR TECNICO DE CALIDAD Y CONSUMO                      MMujer55 - 591520222022-06-14 14:02:49.04001/06/202201/06/2022
1210000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioA2Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,FB065INSPECTOR TECNICO DE CALIDAD Y CONSUMO                      HHombre60 - 641520222022-06-14 14:02:49.04001/06/202201/06/2022
1310000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioA2Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,FB070TECNICO DE GESTION                                          MMujer55 - 591520222022-06-14 14:02:49.04001/06/202201/06/2022
1410000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioC2Graduado Escolar,F.P. de 1º gradoD005AUXILIAR ADMINISTRATIVO                                     MMujer40 - 444520222022-06-14 14:02:49.04001/06/202201/06/2022
1510000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioC2Graduado Escolar,F.P. de 1º gradoD005AUXILIAR ADMINISTRATIVO                                     MMujer45 - 498520222022-06-14 14:02:49.04001/06/202201/06/2022
1610000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioC2Graduado Escolar,F.P. de 1º gradoD005AUXILIAR ADMINISTRATIVO                                     HHombre50 - 541520222022-06-14 14:02:49.04001/06/202201/06/2022
1710000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioC2Graduado Escolar,F.P. de 1º gradoD050AUXILIAR SERVICIOS SOCIALES                                 MMujer40 - 441520222022-06-14 14:02:49.04001/06/202201/06/2022
1810000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioC2Graduado Escolar,F.P. de 1º gradoD065OFICIAL EDIFICIOS Y DEPENDENCIAS                            MMujer45 - 491520222022-06-14 14:02:49.04001/06/202201/06/2022
1910000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioC2Graduado Escolar,F.P. de 1º gradoD065OFICIAL EDIFICIOS Y DEPENDENCIAS                            MMujer50 - 541520222022-06-14 14:02:49.04001/06/202201/06/2022
2010000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioC2Graduado Escolar,F.P. de 1º gradoD065OFICIAL EDIFICIOS Y DEPENDENCIAS                            HHombre50 - 541520222022-06-14 14:02:49.04001/06/202201/06/2022
2110000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioECertificado de EscolaridadE030PERSONAL OFICIOS LIMPIEZA Y MED.AMBIENTE                    HHombre50 - 541520222022-06-14 14:02:49.04001/06/202201/06/2022
2210000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioECertificado de EscolaridadE050PERSONAL OFICIOS SERVICIOS INTERNOS                         MMujer55 - 593520222022-06-14 14:02:49.04001/06/202201/06/2022
2310000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioECertificado de EscolaridadE050PERSONAL OFICIOS SERVICIOS INTERNOS                         HHombre55 - 591520222022-06-14 14:02:49.04001/06/202201/06/2022
2410000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioECertificado de EscolaridadE050PERSONAL OFICIOS SERVICIOS INTERNOS                         HHombre60 - 643520222022-06-14 14:02:49.04001/06/202201/06/2022
2510000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             IFuncionario InterinoA1Doctor,Licenciado,Arquitecto,Ingeniero o EquivalenteA635TECNICO SUPERIOR                                            MMujer55 - 591520222022-06-14 14:02:49.04001/06/202201/06/2022
2610000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             IFuncionario InterinoA1Doctor,Licenciado,Arquitecto,Ingeniero o EquivalenteA645ARQUITECTO SUPERIOR                                         MMujer60 - 641520222022-06-14 14:02:49.04001/06/202201/06/2022
2710000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             IFuncionario InterinoA1Doctor,Licenciado,Arquitecto,Ingeniero o EquivalenteA645ARQUITECTO SUPERIOR                                         HHombre50 - 541520222022-06-14 14:02:49.04001/06/202201/06/2022
2810000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             IFuncionario InterinoA1Doctor,Licenciado,Arquitecto,Ingeniero o EquivalenteA660INGENIERO SUPERIOR                                          MMujer45 - 491520222022-06-14 14:02:49.04001/06/202201/06/2022
2910000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             IFuncionario InterinoA2Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,FB030ARQUITECTO TECNICO                                          HHombre30 - 341520222022-06-14 14:02:49.04001/06/202201/06/2022
3010000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             IFuncionario InterinoA2Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,FB030ARQUITECTO TECNICO                                          HHombre50 - 541520222022-06-14 14:02:49.04001/06/202201/06/2022
3110000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             IFuncionario InterinoA2Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,FB070TECNICO DE GESTION                                          MMujer45 - 492520222022-06-14 14:02:49.04001/06/202201/06/2022
3210000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             IFuncionario InterinoC1Bachillerato,B.U.P.,F.P. 2º gradoC005ADMINISTRATIVO                                              MMujer50 - 542520222022-06-14 14:02:49.04001/06/202201/06/2022
3310000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             IFuncionario InterinoC1Bachillerato,B.U.P.,F.P. 2º gradoC070DELINEANTE                                                  HHombre45 - 491520222022-06-14 14:02:49.04001/06/202201/06/2022
3410000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             IFuncionario InterinoC2Graduado Escolar,F.P. de 1º gradoD070AUXILIAR OBRAS Y VIAS PUBLICAS                              HHombre40 - 441520222022-06-14 14:02:49.04001/06/202201/06/2022
3510000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             IFuncionario InterinoC2Graduado Escolar,F.P. de 1º gradoD070AUXILIAR OBRAS Y VIAS PUBLICAS                              HHombre50 - 542520222022-06-14 14:02:49.04001/06/202201/06/2022
3610000002DISTRITO DE CENTRO                                                               EEventualXSin grupo de titulaciónA000PERSONAL EVENTUAL                                           MMujer55 - 591520222022-06-14 14:02:49.04001/06/202201/06/2022
3710000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioA1Doctor,Licenciado,Arquitecto,Ingeniero o EquivalenteA002GRUPO A1 OTRAS ADMINISTRACIONES                            MMujer40 - 441520222022-06-14 14:02:49.04001/06/202201/06/2022
3810000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioA1Doctor,Licenciado,Arquitecto,Ingeniero o EquivalenteA600TECNICO ADMINISTRACION GENERAL                              MMujer35 - 391520222022-06-14 14:02:49.04001/06/202201/06/2022
3910000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioA1Doctor,Licenciado,Arquitecto,Ingeniero o EquivalenteA600TECNICO ADMINISTRACION GENERAL                              HHombre60 - 642520222022-06-14 14:02:49.04001/06/202201/06/2022
4010000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioA2Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,FB015DIPLOMADO EN TRABAJOS SOCIALES                              MMujer35 - 394520222022-06-14 14:02:49.04001/06/202201/06/2022
4110000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioA2Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,FB015DIPLOMADO EN TRABAJOS SOCIALES                              MMujer55 - 592520222022-06-14 14:02:49.04001/06/202201/06/2022
4210000002DISTRITO DE CENTRO                                                              10006943COORDINACION DEL DISTRITO DE CENTRO                                             FFuncionarioA2Ing.Técnico,Diplomado Universitario,Arquitecto Técnico,FB015DIPLOMADO EN TRABAJOS SOCIALES                              MMujer65 - 691520222022-06-14 14:02:49.04001/06/202201/06/2022
